No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-
0,0,1,1,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,37.805,729.5659259
1,0,0,1,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,40.659,787.6979167
0,1,1,0,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,37.788,2145.628688
1,1,0,0,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,40.659,2470.011791
1,0,1,0,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,40.582,767.4994444
0,1,0,1,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.404,1888.735135
0,1,1,0,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.401,1860.072089
1,0,0,1,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.405,529.2525253
1,0,1,0,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.402,512.6436364
1,1,0,0,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.404,1882.583784
0,0,1,1,0.6,5,1,32,2,127,-1,0,665,30.1,17,0,0,29.402,523.5757576
0,1,1,0,0.9,5,0.6,16,0,85,32,84,167,16.7,49,0,1.5,50.507,2097.420054
0,1,0,1,0.9,5,0.6,16,0,85,32,84,167,16.7,49,0,1.5,50.603,2091.338753
0,0,1,1,0.9,5,0.6,16,0,85,32,84,167,16.7,49,0,1.5,50.508,632.9025641
1,1,0,0,0.9,5,0.6,16,0,85,32,84,167,16.7,49,0,1.5,51.75,2347.124718
1,0,1,0,0.9,5,0.6,16,0,85,32,84,167,16.7,49,0,1.5,51.71,689.7738095
1,0,0,1,0.9,5,0.6,16,0,85,32,84,167,16.7,49,0,1.5,51.749,694.3960317
0,1,0,1,1.5,13,0.6,0,8,127,-67,63,167,36.8,17,0,0.6,37.784,2218.956589
1,0,0,1,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.531,232.5951852
0,1,0,1,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.509,738.0592593
0,1,1,0,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.673,686.8230159
1,1,0,0,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.509,738.6296296
0,0,1,1,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.694,265.8148148
1,0,1,0,0.3,21,0.2,24,0,127,100,128,831,43.5,17,0,1.2,36.092,331.4553571
1,0,0,1,0.3,21,0.2,24,0,127,100,128,831,43.5,17,0,1.2,36.348,312.0857143
1,0,1,0,0.3,25,0.6,32,6,43,-100,105,167,43.5,81,0,0.3,36.443,546.8456229
0,0,1,1,0.3,25,0.6,32,6,43,-100,105,167,43.5,81,0,0.3,33.411,507.5962626
1,0,0,1,0.3,25,0.6,32,6,43,-100,105,167,43.5,81,0,0.3,36.54,524.6767677
0,1,1,0,0.3,25,0.6,32,6,43,-100,105,167,43.5,81,0,0.3,33.373,1590.021505
1,1,0,0,0.3,25,0.6,32,6,43,-100,105,167,43.5,81,0,0.3,36.535,1811.973333
0,1,0,1,0.3,25,0.6,32,6,43,-100,105,167,43.5,81,0,0.3,33.287,1698.973737
1,1,0,0,0.3,21,0.2,24,0,127,100,128,831,43.5,17,0,1.2,36.339,1078.597186
0,0,1,1,0.3,21,0.2,24,0,127,100,128,831,43.5,17,0,1.2,31.875,477.4141414
0,1,0,1,0.3,21,0.2,24,0,127,100,128,831,43.5,17,0,1.2,31.597,1230.692034
0,1,1,0,0.3,21,0.2,24,0,127,100,128,831,43.5,17,0,1.2,31.84,1193.173333
0,1,1,0,0.9,1,0.2,8,8,169,-1,105,831,16.7,100,0,0.3,48.743,3700.787167
0,1,0,1,0.9,1,0.2,8,8,169,-1,105,831,16.7,100,0,0.3,48.788,3771.264394
1,0,1,0,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,35.659,368.6083333
0,0,1,1,0.9,1,0.2,8,8,169,-1,105,831,16.7,100,0,0.3,48.739,1218.810537
1,1,0,0,0.9,1,0.2,8,8,169,-1,105,831,16.7,100,0,0.3,52.2,5279.835
1,0,1,0,0.9,1,0.2,8,8,169,-1,105,831,16.7,100,0,0.3,52.171,1639.738542
1,0,0,1,0.9,1,0.2,8,8,169,-1,105,831,16.7,100,0,0.3,52.202,1641.030208
1,0,1,0,1.2,17,0,24,2,85,-67,105,1,50,49,0,0.3,21.694,235.6792593
0,1,1,0,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,34.06,1211.908333
1,1,0,0,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,35.808,1203.994243
0,0,1,1,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,34.042,369.4638889
1,0,0,1,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,35.818,368.1708333
0,1,0,1,0.3,13,0.8,8,2,1,32,21,1000,43.5,1,0,0.9,34.052,1209.171759
1,0,1,0,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.393,732.5007407
0,1,0,1,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.535,2349.686914
1,1,0,0,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.535,2338.268642
0,1,1,0,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.393,2283.430303
1,0,0,1,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.544,731.6503704
0,0,1,1,1.5,5,1,40,9,1,100,105,333,36.8,1,0,0.3,39.393,727.7925926
1,1,0,0,0,21,0.6,40,2,169,65,42,167,10,100,0,2,55.653,3502.038806
0,1,1,0,0,21,0.6,40,2,169,65,42,167,10,100,0,2,54.046,3465.952239
0,1,0,1,0,21,0.6,40,2,169,65,42,167,10,100,0,2,54.086,3421.090067
0,1,1,0,0.9,21,0.8,51,9,43,-67,0,1000,16.7,81,0,0,46.496,5167.767677
0,1,0,1,0.9,21,0.8,51,9,43,-67,0,1000,16.7,81,0,0,45.822,5231.787
1,0,1,0,0.9,21,0.8,51,9,43,-67,0,1000,16.7,81,0,0,48.002,1833.179012
1,0,0,1,0.9,21,0.8,51,9,43,-67,0,1000,16.7,81,0,0,46.912,1836.78575
0,0,1,1,0.9,21,0.8,51,9,43,-67,0,1000,16.7,81,0,0,46.519,1672.447138
1,1,0,0,0.9,21,0.8,51,9,43,-67,0,1000,16.7,81,0,0,46.818,5718.308257
1,1,0,0,2,25,0,8,9,127,65,84,1,23.4,17,0,1.5,40.82,873.6986565
0,0,1,1,2,25,0,8,9,127,65,84,1,23.4,17,0,1.5,40.886,316.8952381
0,1,0,1,2,25,0,8,9,127,65,84,1,23.4,17,0,1.5,40.82,871.2738925
0,1,1,0,2,25,0,8,9,127,65,84,1,23.4,17,0,1.5,40.885,854.087146
1,0,0,1,2,25,0,8,9,127,65,84,1,23.4,17,0,1.5,40.825,282.0708995
1,0,1,0,2,25,0,8,9,127,65,84,1,23.4,17,0,1.5,40.886,318.7428571
1,0,1,0,0,21,0.6,40,2,169,65,42,167,10,100,0,2,55.609,1111.622607
0,0,1,1,0,21,0.6,40,2,169,65,42,167,10,100,0,2,54.046,1037.614947
1,0,0,1,0,21,0.6,40,2,169,65,42,167,10,100,0,2,55.652,1083.371982
0,1,0,1,1.2,5,0.2,0,10,43,65,21,831,50,81,0,0.9,27.295,1428.2711
1,0,1,0,1.2,5,0.2,0,10,43,65,21,831,50,81,0,0.9,32.625,468.95
1,0,0,1,1.2,5,0.2,0,10,43,65,21,831,50,81,0,0.9,32.396,504.1470707
0,0,1,1,1.2,5,0.2,0,10,43,65,21,831,50,81,0,0.9,27.509,465.94
1,1,0,0,1.2,5,0.2,0,10,43,65,21,831,50,81,0,0.9,32.388,1449.682882
0,1,1,0,1.2,5,0.2,0,10,43,65,21,831,50,81,0,0.9,27.513,1331.299462
0,1,1,0,0.3,1,1,40,10,250,-67,84,665,43.5,33,0,1.5,35.392,1955.414217
0,1,0,1,0.3,1,1,40,10,250,-67,84,665,43.5,33,0,1.5,35.429,2099.284519
0,1,0,1,1.5,9,0.2,51,2,211,-100,84,831,36.8,65,0,1.5,36.322,1735.084416
0,1,1,0,1.5,9,0.2,51,2,211,-100,84,831,36.8,65,0,1.5,36.399,1712.262689
1,1,0,0,1.5,9,0.2,51,2,211,-100,84,831,36.8,65,0,1.5,41.491,1845.8003
0,0,1,1,1.5,9,0.2,51,2,211,-100,84,831,36.8,65,0,1.5,36.421,652.8716931
1,0,0,1,1.5,9,0.2,51,2,211,-100,84,831,36.8,65,0,1.5,41.485,511.7676768
1,0,1,0,1.5,9,0.2,51,2,211,-100,84,831,36.8,65,0,1.5,41.324,492.2007071
1,1,0,0,0.3,1,1,40,10,250,-67,84,665,43.5,33,0,1.5,35.429,2080.834167
0,0,1,1,0.3,1,1,40,10,250,-67,84,665,43.5,33,0,1.5,35.377,626.574359
1,0,0,1,0.3,1,1,40,10,250,-67,84,665,43.5,33,0,1.5,35.453,680.1785714
1,0,1,0,0.3,1,1,40,10,250,-67,84,665,43.5,33,0,1.5,35.377,630.4102564
0,1,0,1,2,21,1,0,4,211,32,105,665,23.4,65,0,0.3,47.647,2593.933796
1,0,1,0,1.5,17,1,8,0,43,-34,42,665,36.8,81,0,2,39.752,369.4736111
1,0,0,1,1.5,17,1,8,0,43,-34,42,665,36.8,81,0,2,39.899,421.6098765
0,0,1,1,1.5,17,1,8,0,43,-34,42,665,36.8,81,0,2,39.752,403.5935185
1,1,0,0,1.5,17,1,8,0,43,-34,42,665,36.8,81,0,2,39.928,1345.701804
0,1,1,0,1.5,17,1,8,0,43,-34,42,665,36.8,81,0,2,39.745,1326.709402
0,1,0,1,1.5,17,1,8,0,43,-34,42,665,36.8,81,0,2,39.928,1381.680658
0,1,0,1,0.3,17,1,16,8,211,65,0,333,43.5,65,0,0,27.596,1724.584314
1,0,1,0,2,21,1,0,4,211,32,105,665,23.4,65,0,0.3,47.545,746.397037
0,0,1,1,2,21,1,0,4,211,32,105,665,23.4,65,0,0.3,47.545,741.5437037
1,0,0,1,2,21,1,0,4,211,32,105,665,23.4,65,0,0.3,47.645,745.8059259
0,1,1,0,2,21,1,0,4,211,32,105,665,23.4,65,0,0.3,47.555,2535.539909
1,1,0,0,2,21,1,0,4,211,32,105,665,23.4,65,0,0.3,47.647,2587.803918
1,0,0,1,0,17,0.2,32,9,250,32,63,831,10,33,0,0.6,55.463,1959.15
0,0,1,1,0,17,0.2,32,9,250,32,63,831,10,33,0,0.6,51.853,1319.818376
1,0,1,0,0,17,0.2,32,9,250,32,63,831,10,33,0,0.6,55.417,1988.875731
0,1,0,1,0,17,0.2,32,9,250,32,63,831,10,33,0,0.6,51.945,4679.842194
1,1,0,0,0,17,0.2,32,9,250,32,63,831,10,33,0,0.6,55.466,5974.798033
0,1,1,0,0,17,0.2,32,9,250,32,63,831,10,33,0,0.6,51.851,4593.567045
0,1,1,0,1.2,21,0.4,32,8,1,-34,84,499,50,1,0,1.5,29.368,1446.566557
1,1,0,0,1.2,21,0.4,32,8,1,-34,84,499,50,1,0,1.5,33.09,1626.936918
0,0,1,1,1.2,21,0.4,32,8,1,-34,84,499,50,1,0,1.5,29.359,488.8064646
1,0,0,1,1.2,21,0.4,32,8,1,-34,84,499,50,1,0,1.5,33.1,520.3131313
0,1,0,1,1.2,21,0.4,32,8,1,-34,84,499,50,1,0,1.5,29.31,1682.491109
1,0,0,1,0.6,9,0,40,8,43,32,128,1,30.1,81,0,1.2,36.512,265.6666667
1,0,1,0,0.6,9,0,40,8,43,32,128,1,30.1,81,0,1.2,36.74,301.8177249
0,1,0,1,0.6,9,0,40,8,43,32,128,1,30.1,81,0,1.2,36.437,827.7702614
0,1,1,0,0.6,9,0,40,8,43,32,128,1,30.1,81,0,1.2,36.739,735.7674074
1,1,0,0,0.6,9,0,40,8,43,32,128,1,30.1,81,0,1.2,36.437,805.3735703
0,0,1,1,0.6,9,0,40,8,43,32,128,1,30.1,81,0,1.2,36.74,264.8796296
1,0,1,0,1.2,21,0.4,32,8,1,-34,84,499,50,1,0,1.5,33.02,521.3131313
0,1,0,1,1.5,1,0.8,32,4,85,65,128,1000,36.8,49,0,1.2,39.316,1796.603175
0,1,1,0,1.5,1,0.8,32,4,85,65,128,1000,36.8,49,0,1.2,38.955,1721.134363
1,0,0,1,1.5,1,0.8,32,4,85,65,128,1000,36.8,49,0,1.2,40.306,526.5858586
1,0,1,0,1.5,1,0.8,32,4,85,65,128,1000,36.8,49,0,1.2,40.127,476.13
1,1,0,0,1.5,1,0.8,32,4,85,65,128,1000,36.8,49,0,1.2,40.294,1704.759596
0,0,1,1,1.5,1,0.8,32,4,85,65,128,1000,36.8,49,0,1.2,38.933,557.9144781
1,0,0,1,0.3,17,1,16,8,211,65,0,333,43.5,65,0,0,27.597,521.3434343
1,0,1,0,0.3,17,1,16,8,211,65,0,333,43.5,65,0,0,27.614,522.5353535
1,1,0,0,0.3,17,1,16,8,211,65,0,333,43.5,65,0,0,27.596,1651.964983
0,0,1,1,0.3,17,1,16,8,211,65,0,333,43.5,65,0,0,27.614,516.2929293
0,1,1,0,0.3,17,1,16,8,211,65,0,333,43.5,65,0,0,27.616,1607.178777
1,0,0,1,1.2,25,0.8,40,0,211,-1,63,1000,50,65,0,0.6,31.007,308.0761905
1,0,1,0,1.2,25,0.8,40,0,211,-1,63,1000,50,65,0,0.6,31.288,290.0410053
0,1,0,1,0.6,17,0.8,0,6,169,100,84,1000,30.1,100,0,1.5,43.417,2508.365821
0,1,1,0,0.6,17,0.8,0,6,169,100,84,1000,30.1,100,0,1.5,43.31,2476.279861
1,1,0,0,0.6,17,0.8,0,6,169,100,84,1000,30.1,100,0,1.5,43.881,2449.657683
0,0,1,1,0.6,17,0.8,0,6,169,100,84,1000,30.1,100,0,1.5,43.298,750.2562037
1,0,0,1,0.6,17,0.8,0,6,169,100,84,1000,30.1,100,0,1.5,43.865,740.1125926
1,0,1,0,0.6,17,0.8,0,6,169,100,84,1000,30.1,100,0,1.5,43.764,722.541164
0,1,1,0,1.5,25,0.4,24,10,169,32,0,499,36.8,100,0,0,27.659,2288.559811
0,1,0,1,1.5,25,0.4,24,10,169,32,0,499,36.8,100,0,0,27.67,2386.162713
0,0,1,1,1.5,25,0.4,24,10,169,32,0,499,36.8,100,0,0,27.659,748.3333333
1,1,0,0,1.5,25,0.4,24,10,169,32,0,499,36.8,100,0,0,29.486,2539.861791
1,0,1,0,1.5,25,0.4,24,10,169,32,0,499,36.8,100,0,0,29.471,814.4280229
1,0,0,1,1.5,25,0.4,24,10,169,32,0,499,36.8,100,0,0,29.487,812.2748366
0,1,0,1,0,25,1,51,8,85,100,21,665,10,49,0,0.9,55.233,5353.618182
0,1,1,0,0,25,1,51,8,85,100,21,665,10,49,0,0.9,55.189,5375.002169
1,1,0,0,1.2,13,1,16,9,169,-100,128,665,50,100,0,1.2,30.775,1708.29899
0,1,1,0,1.2,13,1,16,9,169,-100,128,665,50,100,0,1.2,30.859,1546.978148
0,1,0,1,1.2,13,1,16,9,169,-100,128,665,50,100,0,1.2,30.775,1722.040236
1,0,1,0,1.2,13,1,16,9,169,-100,128,665,50,100,0,1.2,30.86,490.5976768
1,0,0,1,1.2,13,1,16,9,169,-100,128,665,50,100,0,1.2,30.816,572.1833333
0,0,1,1,1.2,13,1,16,9,169,-100,128,665,50,100,0,1.2,30.86,474.92
0,0,1,1,1.2,25,0.8,40,0,211,-1,63,1000,50,65,0,0.6,30.153,559.5589744
1,1,0,0,1.2,25,0.8,40,0,211,-1,63,1000,50,65,0,0.6,31.031,1003.696111
0,1,1,0,1.2,25,0.8,40,0,211,-1,63,1000,50,65,0,0.6,30.127,1353.212876
0,1,0,1,1.2,25,0.8,40,0,211,-1,63,1000,50,65,0,0.6,29.765,1335.334537
1,1,0,0,1.2,1,1,51,6,127,32,42,333,50,17,0,2,31.137,1332.168803
0,0,1,1,1.2,1,1,51,6,127,32,42,333,50,17,0,2,31.206,368.8611111
1,0,0,1,1.2,1,1,51,6,127,32,42,333,50,17,0,2,31.233,403.5751543
1,0,1,0,1.2,1,1,51,6,127,32,42,333,50,17,0,2,31.206,385.254784
0,0,1,1,2,5,0.8,24,8,250,-100,42,1000,23.4,33,0,2,47.363,1266.219162
1,0,0,1,2,5,0.8,24,8,250,-100,42,1000,23.4,33,0,2,48.424,1262.634667
1,0,1,0,2,5,0.8,24,8,250,-100,42,1000,23.4,33,0,2,48.376,1226.501722
0,1,0,1,2,5,0.8,24,8,250,-100,42,1000,23.4,33,0,2,47.427,3911.972727
0,1,1,0,2,5,0.8,24,8,250,-100,42,1000,23.4,33,0,2,47.368,3877.124521
1,1,0,0,2,5,0.8,24,8,250,-100,42,1000,23.4,33,0,2,48.424,4040.644733
1,1,0,0,0,25,1,51,8,85,100,21,665,10,49,0,0.9,55.233,5300.351706
1,0,1,0,0,25,1,51,8,85,100,21,665,10,49,0,0.9,55.188,1744.923529
0,0,1,1,0,25,1,51,8,85,100,21,665,10,49,0,0.9,55.188,1720.671955
1,0,0,1,0,25,1,51,8,85,100,21,665,10,49,0,0.9,55.23,1696.215488
1,0,0,1,0.9,13,0,32,10,211,100,42,1,16.7,65,0,2,45.06,318.9714286
1,0,1,0,0.9,13,0,32,10,211,100,42,1,16.7,65,0,2,45.081,371.3597222
1,1,0,0,0.9,13,0,32,10,211,100,42,1,16.7,65,0,2,45.054,992.94
0,0,1,1,0.9,13,0,32,10,211,100,42,1,16.7,65,0,2,45.081,369.7458333
0,1,0,1,0.9,13,0,32,10,211,100,42,1,16.7,65,0,2,45.054,958.4021053
0,1,1,0,0.9,13,0,32,10,211,100,42,1,16.7,65,0,2,45.082,961.1503216
1,0,0,1,2,17,0.6,51,10,1,-1,128,167,23.4,1,0,1.2,48.12,1469.109579
0,0,1,1,2,17,0.6,51,10,1,-1,128,167,23.4,1,0,1.2,46.514,1183.486252
1,1,0,0,2,17,0.6,51,10,1,-1,128,167,23.4,1,0,1.2,48.116,4563.079062
0,1,1,0,2,17,0.6,51,10,1,-1,128,167,23.4,1,0,1.2,46.514,3618.890865
0,1,0,1,2,17,0.6,51,10,1,-1,128,167,23.4,1,0,1.2,46.611,3715.031546
0,1,1,0,1.2,1,1,51,6,127,32,42,333,50,17,0,2,31.215,1210.197444
0,1,0,1,1.2,1,1,51,6,127,32,42,333,50,17,0,2,31.137,1330.438034
1,0,1,0,2,17,0.6,51,10,1,-1,128,167,23.4,1,0,1.2,48.054,1449.581842
0,1,0,1,0,9,0.8,16,10,127,-34,105,1000,10,17,0,0.3,54.844,6822.769202
0,1,1,0,0,9,0.8,16,10,127,-34,105,1000,10,17,0,0.3,54.789,6851.490931
1,1,0,0,0,9,0.8,16,10,127,-34,105,1000,10,17,0,0.3,55.881,6886.3658
0,0,1,1,0,9,0.8,16,10,127,-34,105,1000,10,17,0,0.3,54.794,2283.333221
1,0,0,1,0,9,0.8,16,10,127,-34,105,1000,10,17,0,0.3,55.878,2303.438114
1,0,1,0,0,9,0.8,16,10,127,-34,105,1000,10,17,0,0.3,55.798,2318.854321
0,1,1,0,2,9,1,32,0,169,-67,21,333,23.4,100,0,0.9,48.006,1920.757057
1,0,1,0,0.9,25,1,0,2,250,-34,128,333,16.7,33,0,1.2,51.597,888.6668119
0,1,0,1,2,9,1,32,0,169,-67,21,333,23.4,100,0,0.9,48.057,1954.454678
0,0,1,1,2,9,1,32,0,169,-67,21,333,23.4,100,0,0.9,47.981,565.5540404
1,1,0,0,2,9,1,32,0,169,-67,21,333,23.4,100,0,0.9,48.057,1996.094917
1,1,0,0,0.9,25,1,0,2,250,-34,128,333,16.7,33,0,1.2,51.63,3061.826846
0,1,1,0,0.9,25,1,0,2,250,-34,128,333,16.7,33,0,1.2,51.596,3006.925139
1,0,0,1,0.9,25,1,0,2,250,-34,128,333,16.7,33,0,1.2,51.63,885.7742193
0,0,1,1,0.9,25,1,0,2,250,-34,128,333,16.7,33,0,1.2,51.597,885.039252
0,0,1,1,1.2,9,0.6,8,4,250,100,0,167,50,33,0,0,26.232,514.2092593
1,1,0,0,1.2,9,0.6,8,4,250,100,0,167,50,33,0,0,26.518,1220.256
0,1,0,1,0.9,25,1,0,2,250,-34,128,333,16.7,33,0,1.2,51.63,3043.24336
1,0,1,0,1.2,9,0.6,8,4,250,100,0,167,50,33,0,0,26.571,326.4988095
1,0,0,1,1.2,9,0.6,8,4,250,100,0,167,50,33,0,0,26.516,308.2
1,0,1,0,2,9,1,32,0,169,-67,21,333,23.4,100,0,0.9,47.981,562.8676768
1,0,0,1,2,9,1,32,0,169,-67,21,333,23.4,100,0,0.9,48.056,584.6907407
0,1,1,0,1.2,9,0.6,8,4,250,100,0,167,50,33,0,0,26.239,1737.842244
0,1,0,1,1.2,9,0.6,8,4,250,100,0,167,50,33,0,0,26.148,1812.756362
1,1,0,0,0.3,5,0,51,4,169,-34,63,1,43.5,100,0,0.6,29.774,717.0274074
0,1,1,0,0.3,5,0,51,4,169,-34,63,1,43.5,100,0,0.6,30.745,663.6117216
0,1,0,1,0.3,5,0,51,4,169,-34,63,1,43.5,100,0,0.6,29.774,699.8137037
1,0,1,0,0.3,5,0,51,4,169,-34,63,1,43.5,100,0,0.6,30.871,264.5925926
1,0,0,1,0.3,5,0,51,4,169,-34,63,1,43.5,100,0,0.6,29.914,243.63
0,0,1,1,0.3,5,0,51,4,169,-34,63,1,43.5,100,0,0.6,30.871,256.3703704
